style,overall_rate,name,url,brewery,style_rate
Bitter,43,Wagtail Best Bitter,https://www.ratebeer.com/beer/allendale-wagtail-ale/132616/,ALLENDALE,80
Golden Ale/Blond Ale,59,Pennine Pale,https://www.ratebeer.com/beer/allendale-pennine-pale/203829/,ALLENDALE,93
Premium Bitter/ESB,53,Wolf,https://www.ratebeer.com/beer/allendale-wolf/58598/,ALLENDALE,83
Bitter,34,Resolute Bitter,https://www.ratebeer.com/beer/andwell-resolute-cask/103493/,ANDWELL,47
Golden Ale/Blond Ale,42,Gold Muddler,https://www.ratebeer.com/beer/andwell-gold-muddler-cask/96834/,ANDWELL,68
Amber Ale,,Summer Daze,https://www.ratebeer.com/beer/andwell-summer-daze/522392/,ANDWELL,
Premium Bitter/ESB,27,King John,https://www.ratebeer.com/beer/andwell-king-john-bottle/130792/,ANDWELL,17
Premium Bitter/ESB,65,Ruddy Darter,https://www.ratebeer.com/beer/andwell-ruddy-darter-cask/114964/,ANDWELL,91
unknown,0,Bear,,ANIMAL,0
unknown,0,Squawk,,ANIMAL,0
Golden Ale/Blond Ale,29,Wiltshire Gold,https://www.ratebeer.com/beer/arkells-wiltshire-gold/150229/,ARKELL,39
unknown,0,Triple Bogey,,ARKELL,0
Bitter,25,3B,https://www.ratebeer.com/beer/arkells-3b-cask/4243/,ARKELL,29
Golden Ale/Blond Ale,35,Hoperation IPA,https://www.ratebeer.com/beer/arkells-hoperation-ipa/434944/,ARKELL,48
Premium Bitter/ESB,36,Moonlight,https://www.ratebeer.com/beer/arkells-moonlight-bottle/24421/,ARKELL,37
unknown,0,Strawberries 'N' Cream,,ARKELL,0
unknown,0,Castle,,ARUNDEL,0
Golden Ale/Blond Ale,34,Sussex Gold,https://www.ratebeer.com/beer/arundel-sussex-gold-cask/29821/,ARUNDEL,45
American Pale Ale,72,Wild Heaven APA,https://www.ratebeer.com/beer/arundel-wild-heaven/260731/,ARUNDEL,70
Golden Ale/Blond Ale,69,Alligator Ale,https://www.ratebeer.com/beer/ascot-alligator-ale/77209/,ASCOT,96
American Pale Ale,,California Dreaming,https://www.ratebeer.com/beer/aylesbury-california-dreaming/531910/,AYLESBURY,
Bitter,42,Leezie Lundie Pale Ale,https://www.ratebeer.com/beer/ayr-leezie-lundie/115476/,AYR,78
Golden Ale/Blond Ale,,Shefford Bitter,https://www.ratebeer.com/beer/bt-shefford-blonde/263194/,AYR,
unknown,0,Fruit Bat,,AYR,0
Porter,62,Shefford Old Dark,https://www.ratebeer.com/beer/bt-hitchin-old-dark/255366/,AYR,43
unknown,0,Shefford Old Strong,,AYR,0
Mild Ale,78,Dark Mild,https://www.ratebeer.com/beer/bank-top-dark-mild/28959/,BANK TOP,95
Bitter,36,Ginger Bear,https://www.ratebeer.com/beer/beartown-ginger-bear/27687/,BEARTOWN,47
Golden Ale/Blond Ale,39,Peach Melbear,https://www.ratebeer.com/beer/beartown-peach-melbear/107934/,BEARTOWN,57
Stout,88,Vanilla Stout,https://www.ratebeer.com/beer/binghams-vanilla-stout/143991/,BINGHAMS,88
Premium Bitter/ESB,39,Golden Sheep,https://www.ratebeer.com/beer/black-sheep-golden-sheep-bottle/19326/,BLACK SHEEP,43
American Pale Ale,48,Pathmaker Pale Ale,https://www.ratebeer.com/beer/black-sheep-pathmaker/358761/,BLACK SHEEP,42
Bitter,,Pride of Dartmoor,https://www.ratebeer.com/beer/black-tor-pride-of-dartmoor/236929/,BLACK TOR,
Bitter,,Raven Bitter,https://www.ratebeer.com/beer/black-tor-raven/431089/,BLACK TOR,
Porter,,Abyss Porter,https://www.ratebeer.com/beer/blue-square-abyss/454892/,BLUE SQUARE,
Golden Ale/Blond Ale,,Goldi-Hops,https://www.ratebeer.com/beer/bond-goldi-hops/387290/,BOND,
Bitter,,Best of British,https://www.ratebeer.com/beer/bond-best-of-british/388745/,BOND,
Porter,,Railway Porter,https://www.ratebeer.com/beer/bond-railway-porter/390652/,BOND,
unknown,0,Razamataz Raspberry Wheat,,BOSUN'S,0
Smoked,,Smoke Oatmeal Stout,https://www.ratebeer.com/beer/boutilliers-smoked-oatmeal-stout/444031/,BOUTILLIERS,
Golden Ale/Blond Ale,,Farmers Yellow Jersey,https://www.ratebeer.com/beer/bradfield-farmers-yellow-jersey/269938/,BRADFIELD,
Mild Ale,55,Dark,https://www.ratebeer.com/beer/brains-dark-bottle/6783/,BRAINS,79
unknown,0,Session Buddy,,BREW BUDDIES,0
Bitter,,Best Bitter,http://www.ratebeer.com/beer/brew-buddies-best-bitter/378688/,BREW BUDDIES,
American Pale Ale,,Cascade Sybilla Pale Ale,https://www.ratebeer.com/beer/brew-buddies-pa03-cascade-sybilla/527919/,BREW BUDDIES,
American Pale Ale,,Wokka American Pale Ale,https://www.ratebeer.com/beer/brew-buddies-wokka-apa/527765/,BREW BUDDIES,
Golden Ale/Blond Ale,29,Hopleaf,https://www.ratebeer.com/beer/buffys-hopleaf/5465/,BUFFYS,38
Premium Bitter/ESB,33,Norwegian Blue,https://www.ratebeer.com/beer/buffys-norwegian-blue/5467/,BUFFYS,30
Porter,44,Damson Porter,https://www.ratebeer.com/beer/burton-bridge-damson-porter/30534/,BURTON BRIDGE,25
Bitter,30,Old Bushy Tail,https://www.ratebeer.com/beer/bushys-old-bushy-tail/5483/,BUSHYS,41
,,Kent Triple Gold,https://www.ratebeer.com/brewers/canterbury-ales-canterbrew/12428/,CANTERBURY ALES,
Mild Ale,45,Black Gold,https://www.ratebeer.com/beer/castle-rock-black-gold-cask/25661/,CASTLE ROCK,47
Golden Ale/Blond Ale,50,Elsie Mo,https://www.ratebeer.com/beer/castle-rock-elsie-mo-cask/13853/,CASTLE ROCK,86
